center_count,sigma,lambda,cv_mse,train_mse,test_mse
8.0,1.0,0.01,0.7053084236553171,0.4272562523323068,0.43899746322936095
12.0,1.5,0.01,0.7063473983699847,0.4740592449638799,0.47240950319700803
5.0,0.3,1.0,0.7090731185925023,0.6526151962791213,0.607783496600937
30.0,0.3,0.0001,0.709148093441066,0.15447874261433214,0.24885257819865703
5.0,0.2,0.01,0.713223838953323,0.6448923427921072,0.6004765165102623
15.0,1.5,0.01,0.7166655058162655,0.4713717812907875,0.47034736692954626
5.0,0.5,1.0,0.7180253711918597,0.6457620414374281,0.6054891455234402
5.0,0.1,1.0,0.7190271782055531,0.6632257895985686,0.6368106075596458
5.0,0.2,0.0001,0.7196312735675517,0.6448913290453484,0.6003773273447585
5.0,0.2,1e-06,0.7197381685177012,0.6448913289431606,0.6003763412436834
10.0,0.8,0.0001,0.7283300528938614,0.38466382470173777,0.36415718360020977
20.0,1.5,0.01,0.7313754159051744,0.46801294463409376,0.4678272727263226
10.0,0.1,0.01,0.7325530660294255,0.5454107595475617,0.5048095490281562
10.0,0.8,1e-06,0.7336158432107833,0.38466333089836513,0.36421214602614455
5.0,0.3,0.1,0.7345241853801655,0.6499771094723686,0.5988876220525935
12.0,0.8,0.0001,0.7357888699953726,0.3551517612910812,0.3542404067386082
5.0,0.1,0.1,0.7385841770512348,0.6537979270059039,0.6236485840880985
25.0,1.5,0.01,0.7437648371280492,0.46544987806990634,0.46590099313384803
10.0,1.5,0.0001,0.7439687703252045,0.3759778864865353,0.3745223021325
30.0,0.3,1e-06,0.7439809871235767,0.15447324893494552,0.24909054565950636
5.0,0.1,0.0001,0.7440395860036361,0.6535601710195184,0.6226695636135955
5.0,0.5,0.1,0.7455053825425517,0.644555401854189,0.6002907434915893
5.0,0.1,0.01,0.7485197987840261,0.6535628453372737,0.6227508191449438
12.0,0.8,1e-06,0.7503418885819755,0.355150709596924,0.3542795917783824
5.0,0.5,0.01,0.7518137321638131,0.6445393689014649,0.5997904462167732
5.0,0.5,0.0001,0.7525964816491167,0.6445392017965517,0.5997358646754695
5.0,0.5,1e-06,0.752604409035732,0.6445392017797835,0.5997353193433721
25.0,0.1,0.01,0.7531628607478019,0.24191571339689383,0.3427206528448138
5.0,0.3,0.01,0.7537973118547505,0.649936152642173,0.5980314207335374
30.0,1.5,0.01,0.7543379848002231,0.46335220363252927,0.4642976897402612
5.0,0.3,0.0001,0.7572132473697927,0.6499357175955818,0.5979385441456867
5.0,0.3,1e-06,0.7572494363761837,0.649935717551834,0.5979376168317642
8.0,0.8,0.0001,0.7656987832358666,0.4139318913777473,0.4338501002831832
30.0,0.1,0.01,0.7679953406743625,0.16342946774876188,0.29955619109279036
8.0,0.8,1e-06,0.773247075148136,0.41392681654240276,0.4340177114672921
30.0,2.0,1e-06,0.7834212857335014,0.38360407324905815,0.3882212830588584
8.0,2.0,0.0001,0.8073217770400427,0.4940355573970908,0.4903564961916671
25.0,2.0,1e-06,0.8109530626908438,0.3918778465207414,0.3958729490018662
12.0,0.1,0.01,0.8298256056841902,0.4087111269948641,0.4842542394552545
10.0,2.0,0.0001,0.8315260105793533,0.4948444776955547,0.4911412044159134
20.0,0.1,0.01,0.8358808250870726,0.39643500702625467,0.38354002139670385
25.0,0.1,0.0001,0.8379855814891009,0.24189876584536957,0.34348429283847787
8.0,1.0,0.0001,0.8381377166837776,0.42563524224240257,0.4408394787171217
8.0,1.0,1e-06,0.8427981875678212,0.4256344755723038,0.4409116196368158
12.0,2.0,0.0001,0.8434548696000578,0.49446681449405105,0.4908922151365033
20.0,2.0,1e-06,0.8452317766869468,0.40287436200948845,0.40607822426379914
15.0,2.0,0.0001,0.8564296222136848,0.49390888454063314,0.49053391934287177
30.0,0.2,0.0001,0.8597085455522564,0.14630929032304585,0.25010339286129085
10.0,0.1,0.0001,0.8717489865433589,0.5454046020715895,0.5046578166339923
20.0,2.0,0.0001,0.8732962044295325,0.49315944317042404,0.4900693534846151
25.0,2.0,0.0001,0.8870103678027188,0.4925677159353051,0.4897036080743638
30.0,1.0,1e-06,0.8882306280812549,0.17887028583366457,0.264719450487041
15.0,0.1,0.01,0.8896473254671491,0.424526149114607,0.5213661490423963
15.0,2.0,1e-06,0.8956150501750093,0.4202808703303842,0.4223052847249577
